state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_AZ;enrollmetric;pp_stloc_raw_AZ;pp_fed_raw_AZ;pp_total_raw_AZ;schoolstloc_raw_AZ;schoolfed_raw_AZ;schooltot_raw_AZ;countenroll;noaudit;nositecen;adfinvars;distflex;ppperfed_raw_AZ;ppperstloc_raw_AZ;ppnonperfed_raw_AZ;ppnonperstloc_raw_AZ;pppersonnel_raw_AZ;ppnonpersonnel_raw_AZ;flag_NERDS
AZ;2018-2019;4406;5797;Amphitheater Unified District;L M Prince School;0400680;040068000027;574; PK-05;2;574;October Count Day;7827,603596;1073,101589;8900,705185;4493044,464;615960,3124;5109004,776;1;1;1;1;0;847,671829;6207,694269;225,4297605;1619,909327;7055,366098;1845,339087;0
AZ;2018-2019;4406;5804;Amphitheater Unified District;La Cima Middle School;0400680;040068001525;488; 06-08;3;488;October Count Day;7985,561536;738,0175505;8723,579087;3896954,03;360152,5646;4257106,594;1;1;1;1;0;576,2608709;6462,760029;161,7566796;1522,801507;7039,0209;1684,558187;0
AZ;2018-2019;4406;5806;Amphitheater Unified District;Lawrence W Cross Middle School;0400680;040068000028;684; 06-08;3;684;October Count Day;7750,365241;103,2587732;7853,624014;5301249,825;70629,00084;5371878,826;1;1;1;1;0;54,02844488;6242,783547;49,23032827;1507,581694;6296,811992;1556,812022;0
AZ;2018-2019;4406;5798;Amphitheater Unified District;Lulu Walker School;0400680;040068000029;430; PK-05;2;430;October Count Day;8193,322632;845,0772175;9038,399849;3523128,732;363383,2035;3886511,935;1;1;1;1;0;734,3647705;6738,711016;110,712447;1454,611616;7473,075786;1565,324063;0
AZ;2018-2019;4406;5792;Amphitheater Unified District;Marion Donaldson Elementary School;0400680;040068000022;305; PK-05;2;305;October Count Day;9177,817139;1406,971491;10584,78863;2799234,227;429126,3047;3228360,532;1;1;1;1;0;1273,838029;7708,745959;133,1334622;1469,07118;8982,583988;1602,204642;0
AZ;2018-2019;4406;5800;Amphitheater Unified District;Mesa Verde Elementary School;0400680;040068001031;354; PK-05;2;354;October Count Day;8676,825816;1075,961042;9752,786858;3071596,339;380890,2088;3452486,548;1;1;1;1;0;897,8529882;7204,16078;178,1080537;1472,665037;8102,013768;1650,77309;0
AZ;2018-2019;4406;79282;Amphitheater Unified District;Painted Sky Elementary School;0400680;040068002066;417; PK-05;2;417;October Count Day;7899,703368;440,0294832;8339,732851;3294176,304;183492,2945;3477668,599;1;1;1;1;0;390,799155;6444,549539;49,23032827;1455,153829;6835,348694;1504,384157;0
AZ;2018-2019;4406;5807;Amphitheater Unified District;Richard B Wilson Jr School;0400680;040068001001;1100; PK-08;3;1100;October Count Day;7531,921575;328,4077955;7860,329371;8285113,733;361248,575;8646362,308;1;1;1;1;0;279,1774672;6064,463008;49,23032827;1467,458568;6343,640475;1516,688896;0
AZ;2018-2019;4406;5803;Amphitheater Unified District;Rillito Center;0400680;040068000030;82; PK-12;4;82;October Count Day;23632,98795;4755,71012;28388,69807;1937905,012;389968,2298;2327873,242;1;1;1;1;0;4706,479791;22151,55409;49,23032827;1481,433863;26858,03388;1530,664191;0
AZ;2018-2019;4406;5801;Amphitheater Unified District;Rio Vista Elementary School;0400680;040068001286;433; KG-05;2;433;October Count Day;8423,063183;975,1260203;9398,189204;3647186,358;422229,5668;4069415,925;1;1;1;1;0;779,1231765;6821,407184;196,0028438;1601,655999;7600,530361;1797,658843;0
