state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_OH;enrollmetric;pp_stloc_raw_OH;pp_fed_raw_OH;pp_total_raw_OH;pp_site_stloc_raw_OH;pp_site_fed_raw_OH;pp_site_raw_OH;pp_centshare_stloc_raw_OH;pp_centshare_fed_raw_OH;pp_centshare_raw_OH;schoolstloc_raw_OH;schoolfed_raw_OH;schooltot_raw_OH;countenroll;noaudit;nositecen;adfinvars;distflex;pp_weightedenroll_raw_OH;site_total_fed_raw_OH;site_total_stloc_raw_OH;pp_centshare_total_operational_OH;pp_site_fed_operational_OH;pp_site_stloc_operational_OH;pp_site_total_operational_OH;pp_total_operational_OH;schooltot_operational_OH;flag_NERDS
OH;2018-2019;043505;001099;Ashland City;Ashland Middle School;3904350;390435000076;749; 06-08;3;742,803835;Weighted Enrollment;NA;NA;7210,805848;6121,8;396,1;6517,9;NA;NA;692,9058483;NA;NA;5356214,238;0;0;0;0;0;856,8025677;339379,27;5245178,41;799,2466948;456,8894963;7061,323815;7518,213311;8211,11916;6099250,801;0
OH;2018-2019;043505;010025;Ashland City;Edison Elementary School;3904350;390435000077;469; KG-03;2;468,12325;Weighted Enrollment;NA;NA;9083,738116;7895,5;494,7;8390,2;NA;NA;693,5381161;NA;NA;4252309,009;0;0;0;0;0;539,4734064;266860,19;4259387,29;799,2454338;570,0639522;9098,858666;9668,922618;10362,46073;4850908,797;0
OH;2018-2019;043505;028811;Ashland City;Reagan Elementary School;3904350;390435000081;608; PK-03;2;616,221697;Weighted Enrollment;NA;NA;7377,695828;6357;357,8;6714,8;NA;NA;662,8958278;NA;NA;4546296,243;0;0;0;0;0;742,9739174;265846,95;4723082,26;799,2485698;431,4144589;7664,582865;8095,997324;8758,893152;5397420,002;0
OH;2018-2019;043505;025395;Ashland City;Taft Intermediate School;3904350;390435000080;491; 03-05;2;494,671909;Weighted Enrollment;NA;NA;8697,437846;7591,5;419,1;8010,6;NA;NA;686,8378462;NA;NA;4302378,183;0;0;0;0;0;575,6315296;241255,14;4369917,75;799,2479719;487,7073786;8833,971912;9321,679291;10008,51714;4950932,279;0
OH;2018-2019;009971;009971;Ashland County Community Academy;Ashland County Community Academy;3901350;390135005447;90; 07-12;4;NA;Weighted Enrollment;NA;NA;NA;8874,3;837,1;9711,4;NA;NA;NA;NA;NA;NA;0;0;0;0;0;107,8474046;90279,65;957075,17;NA;NA;NA;NA;NA;NA;1
OH;2018-2019;043513;041707;Ashtabula Area City;Early Learning Center;3904351;390435105091;NA; NA;NA;NA;Weighted Enrollment;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;0;NA;10380,81;369313,35;NA;NA;NA;NA;NA;NA;1
OH;2018-2019;043513;033670;Ashtabula Area City;Erie Intermediate School;3904351;390435100090;527; 03-06;2;532,359572;Weighted Enrollment;NA;NA;7501,216527;6349,9;600,6;6950,5;NA;NA;550,7165265;NA;NA;3993344,42;0;0;0;0;0;801,9899689;481664,15;5092516,13;829,6443855;904,7722166;9565,933249;10470,70547;11021,42199;5867359,494;0
OH;2018-2019;043513;037093;Ashtabula Area City;Huron Primary School;3904351;390435100093;228; KG-02;2;231,151647;Weighted Enrollment;NA;NA;10587,52066;9189;839,6;10028,6;NA;NA;558,9206577;NA;NA;2447322,838;0;0;0;0;0;343,1115443;288070,16;3152838,24;829,6377399;1246,238838;13639,69619;14885,93503;15444,85569;3570103,831;0
OH;2018-2019;043513;001123;Ashtabula Area City;Lakeside High School;3904351;390435100084;947; 09-12;4;923,30585;Weighted Enrollment;NA;NA;8538,732055;7457;522,6;7979,6;NA;NA;559,132055;NA;NA;7883861,258;0;0;0;0;0;1370,013315;715905,26;10216216,41;829,6474673;775,3717362;11064,82366;11840,19539;12399,32745;11448371,57;0
OH;2018-2019;043513;007088;Ashtabula Area City;Lakeside Junior High School;3904351;390435100087;497; 07-08;3;494,179537;Weighted Enrollment;NA;NA;7140,383484;6040,4;542,2;6582,6;NA;NA;557,7834843;NA;NA;3528631,404;0;0;0;0;0;735,0401035;398573,59;4439936,35;829,6442878;806,536006;8984,460136;9790,996142;10348,77963;5114155,124;0
OH;2018-2019;043513;035873;Ashtabula Area City;Michigan Primary School;3904351;390435100091;418; PK-KG;1;426,318633;Weighted Enrollment;NA;NA;7742,769844;6538,2;632,5;7170,7;NA;NA;572,069844;NA;NA;3300887,056;0;0;0;0;0;618,2699258;391040,5;4042368,44;829,6460737;917,2493758;9482,035565;10399,28494;10971,35478;4677292,974;0
OH;2018-2019;043513;004242;Ashtabula Area City;Ontario Primary School;3904351;390435100088;253; KG-03;2;251,022747;Weighted Enrollment;NA;NA;10174,10247;8734,7;881,7;9616,4;NA;NA;557,7024731;NA;NA;2553931,151;0;0;0;0;0;373,4197534;329249,83;3261716,84;829,6344554;1311,633443;12993,71025;14305,34369;14863,04616;3730962,677;0
OH;2018-2019;043513;011518;Ashtabula Area City;Superior Intermediate School;3904351;390435105520;552; 03-05;2;550,005375;Weighted Enrollment;NA;NA;8752,413678;7499,7;690,7;8190,4;NA;NA;562,0136782;NA;NA;4813874,567;0;0;0;0;0;811,9239579;560828,65;6089157,95;829,6507466;1019,67849;11071,08808;12090,76657;12652,78025;6959097,144;0
OH;2018-2019;043521;001149;Athens City;Athens High School;3904352;390435200097;763; 09-12;4;755,665732;Weighted Enrollment;NA;NA;10547,33609;9429,2;539,4;9968,6;NA;NA;578,7360852;NA;NA;7970260,443;0;0;0;0;0;924,0704937;498446,99;8713274,88;707,7109856;659,6130655;11530,59416;12190,20723;12768,94332;9649052,897;0
OH;2018-2019;043521;024471;Athens City;Athens Middle School;3904352;390435200098;388; 07-08;3;387,272388;Weighted Enrollment;NA;NA;8272,936507;7194;520,9;7714,9;NA;NA;558,0365068;NA;NA;3203879,877;0;0;0;0;0;491,1394267;255846,22;3533278,99;707,7027397;660,6363581;9123,498342;9784,134701;10342,17121;4005237,341;0
OH;2018-2019;043521;009431;Athens City;East Elementary School;3904352;390435200100;376; KG-06;2;372,495936;Weighted Enrollment;NA;NA;11644,78837;10366,1;688,4;11054,5;NA;NA;590,2883673;NA;NA;4337636,342;0;0;0;0;0;446,5966545;307431,72;4629459,03;707,7145937;825,3290581;12428,21353;13253,54258;13843,83095;5156770,768;0
OH;2018-2019;043521;025585;Athens City;Morrison Elementary School;3904352;390435200101;393; KG-06;2;393,831301;Weighted Enrollment;NA;NA;11013,14727;9813,9;643,5;10457,4;NA;NA;555,7472742;NA;NA;4337322,119;0;0;0;0;0;501,51627;322728,15;4921835,02;707,7047946;819,457847;12497,31803;13316,77588;13872,52315;5463433,842;0
OH;2018-2019;043521;037028;Athens City;The Plains Elementary School;3904352;390435200102;419; KG-06;2;420,965448;Weighted Enrollment;NA;NA;9900,426526;8834,5;571,7;9406,2;NA;NA;494,2265255;NA;NA;4167737,488;0;0;0;0;0;602,8073659;344601,62;5325512,54;707,7145913;818,5983473;12650,71175;13469,3101;13963,53662;5878166,451;0
OH;2018-2019;043521;040451;Athens City;West Elementary School;3904352;390435200103;NA; NA;NA;195,447154;Weighted Enrollment;NA;NA;11583,53079;10281,4;694,6;10976;NA;NA;607,5307876;NA;NA;2263968,126;0;0;0;0;0;227,6779759;158136,03;2340840,96;707,717545;809,0986579;11976,84853;12785,94719;13393,47798;2617717,153;0
OH;2018-2019;000288;000288;Auglaize County Educational Academy;Auglaize County Educational Academy;3900490;390049005200;100; 07-12;4;NA;Weighted Enrollment;NA;NA;NA;6503,3;851,8;7355,1;NA;NA;NA;NA;NA;NA;0;0;0;0;0;101,0243034;86047,66;656995,31;NA;NA;NA;NA;NA;NA;1
OH;2018-2019;134148;134148;Aurora Academy;Aurora Academy;3900023;390002301525;NA; NA;NA;NA;Weighted Enrollment;NA;NA;NA;7874,3;1392,8;9267,1;NA;NA;NA;NA;NA;NA;0;0;0;0;0;200,416444;279143,86;1578138,45;NA;NA;NA;NA;NA;NA;1
OH;2018-2019;049171;001297;Aurora City;Aurora High School;3904917;390491703512;980; 09-12;4;947,833663;Weighted Enrollment;NA;NA;11795,01926;9428;148,7;9576,7;NA;NA;2218,319255;NA;NA;11179716,31;0;0;0;0;0;1088,81931;161959,57;10265440,77;2548,283453;170,8734099;10830,42434;11001,29775;13219,617;12529998,01;0
OH;2018-2019;049171;001313;Aurora City;Craddock Elementary School;3904917;390491703516;400; 01-02;2;401,421962;Weighted Enrollment;NA;NA;12012,45956;9613,2;150,8;9764;NA;NA;2248,459561;NA;NA;4822065,086;0;0;0;0;0;454,9495697;68592,28;4373537,28;2548,28038;170,8732618;10895,11211;11065,98537;13314,44493;5344710,609;0
OH;2018-2019;049171;066803;Aurora City;Harmon Middle School;3904917;390491703513;676; 06-08;3;675,034485;Weighted Enrollment;NA;NA;11360,74969;8925,8;153;9078,8;NA;NA;2281,949689;NA;NA;7668897,815;0;0;0;0;0;753,8178551;115345,12;6728424,65;2548,27636;170,8729296;9967,527289;10138,40022;12420,34991;8384164,503;0
OH;2018-2019;049171;140889;Aurora City;Leighton Elementary School;3904917;390491704654;669; 03-05;2;669,901164;Weighted Enrollment;NA;NA;10917,29336;8577;147,1;8724,1;NA;NA;2193,193363;NA;NA;7313507,531;0;0;0;0;0;778,3635174;114468,55;6676054,32;2548,2889;170,8737888;9965,730288;10136,60408;12329,79744;8259745,657;0
OH;2018-2019;049171;015313;Aurora City;Miller Elementary School;3904917;390491705823;262; PK-KG;1;253,605262;Weighted Enrollment;NA;NA;9616,981533;7343,2;142,9;7486,1;NA;NA;2130,881533;NA;NA;2438917,121;0;0;0;0;0;303,288883;43335,35;2227120,17;2548,340973;170,8771721;8781,837382;8952,714554;11083,59609;2810858,289;0
