state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_ND;enrollmetric;pp_stloc_raw_ND;pp_fed_raw_ND;pp_total_raw_ND;schoolstloc_raw_ND;schoolfed_raw_ND;schooltot_raw_ND;countenroll;noaudit;nositecen;adfinvars;distflex;flag_NERDS
ND;2018-2019;53001;52311;Williston Public School District;Lewis And Clark Elementary School;3819880;381988000690;277; KG-04;2;277;September Count;9847,21;460,2;10307,42;2727677,17;127475,4;2855155,34;1;0;1;0;0;0
ND;2018-2019;53001;56291;Williston Public School District;McVay Elementary School;3819880;381988000860;432; KG-04;2;432;September Count;9265,55;855,11;10120,66;4002717,6;369407,52;4372125,12;1;0;1;0;0;0
ND;2018-2019;53001;74451;Williston Public School District;Rickard Elementary School;3819880;381988000692;285; KG-04;2;285;September Count;9777,84;138,23;9916,07;2786684,4;39395,55;2826079,95;1;0;1;0;0;0
ND;2018-2019;53001;94121;Williston Public School District;Wilkinson Elementary School;3819880;381988000694;281; KG-04;2;281;September Count;9140,95;579,27;9720,22;2568606,95;162774,87;2731381,82;1;0;1;0;0;0
ND;2018-2019;53001;94163;Williston Public School District;Williston High School;3819880;381988000695;1262; 09-12;4;1262;September Count;10141,77;138,23;10280;12798913,74;174446,26;12973360;1;0;1;0;0;0
ND;2018-2019;53001;94182;Williston Public School District;Williston Middle School;3819880;381988000696;587; 07-08;3;587;September Count;10383,77;156,57;10540,34;6095272,99;91906,59;6187179,58;1;0;1;0;0;0
ND;2018-2019;28001;94511;Wilton Public School District;Wilton Elementary School;3813200;381320000456;150; PK-06;2;130;September Count;11257,92;307,29;11565,22;1463529,6;39947,7;1503478,6;1;0;1;0;0;0
ND;2018-2019;28001;94513;Wilton Public School District;Wilton High School;3813200;381320000457;91; 07-12;4;91;September Count;11257,92;307,29;11565,22;1024470,72;27963,39;1052435,02;1;0;1;0;0;0
ND;2018-2019;08028;94701;Wing Public School District;Wing Elementary School;3820130;382013000704;52; PK-08;3;47;September Count;16920,1;377,16;17297,25;795244,7;17726,52;812970,75;1;0;1;0;0;0
ND;2018-2019;08028;94703;Wing Public School District;Wing High School;3820130;382013000705;32; 09-12;4;32;September Count;16920,1;377,16;17297,25;541443,2;12069,12;553512;1;0;1;0;0;0
ND;2018-2019;26019;94771;Wishek Public School District;Wishek Elementary School;3820190;382019000706;141; PK-06;2;122;September Count;11577,01;485,68;12062,69;1412395,22;59252,96;1471648,18;1;0;1;0;0;0
ND;2018-2019;26019;94773;Wishek Public School District;Wishek High School;3820190;382019000707;79; 07-12;4;79;September Count;11577,01;485,68;12062,69;914583,79;38368,72;952952,51;1;0;1;0;0;0
ND;2018-2019;35001;95081;Wolford Public School District;Wolford Elementary School;NA;NA;NA; NA;NA;NA;September Count;0;0;0;NA;NA;NA;1;0;1;0;0;1
ND;2018-2019;35001;95083;Wolford Public School District;Wolford High School;NA;NA;NA; NA;NA;28;September Count;0;0;0;0;0;0;1;0;1;0;0;1
ND;2018-2019;39042;96271;Wyndmere Public School District;Wyndmere Elementary School;3820310;382031000712;147; PK-06;2;142;September Count;10771,53;232,58;11004,1;1529557,26;33026,36;1562582,2;1;0;1;0;0;0
ND;2018-2019;39042;96273;Wyndmere Public School District;Wyndmere High School;3820310;382031000713;105; 07-12;4;105;September Count;10771,53;232,58;11004,1;1131010,65;24420,9;1155430,5;1;0;1;0;0;0
ND;2018-2019;27014;27411;Yellowstone Public School District;East Fairview Elementary School;3820340;382034000714;83; PK-08;3;83;September Count;14067,27;310,86;14378,13;1167583,41;25801,38;1193384,79;1;0;1;0;0;0
ND;2018-2019;26004;98491;Zeeland Public School District;Zeeland Elementary School;3820400;382040000717;13; PK-06;2;10;September Count;28359,36;0;28359,36;283593,6;0;283593,6;1;0;1;0;0;1
ND;2018-2019;26004;98493;Zeeland Public School District;Zeeland High School;3820400;382040000718;18; 07-12;4;18;September Count;28359,36;0;28359,36;510468,48;0;510468,48;1;0;1;0;0;0
